sample,cram_path,fastq_prefix
4861STDY7135911,/seq/24133/24133_1#4.cram,4861STDY7135911_S1_L001
4861STDY7135911,/seq/24133/24133_2#2.cram,4861STDY7135911_S1_L002
4861STDY7135911,/seq/24133/24133_3#3.cram,4861STDY7135911_S1_L003
4861STDY7135911,/seq/24133/24133_4#4.cram,4861STDY7135911_S1_L004
4861STDY7135911,/seq/24133/24133_5#2.cram,4861STDY7135911_S1_L005
4861STDY7135911,/seq/24133/24133_6#1.cram,4861STDY7135911_S1_L006
4861STDY7135911,/seq/24133/24133_7#3.cram,4861STDY7135911_S1_L007
4861STDY7135911,/seq/24133/24133_8#4.cram,4861STDY7135911_S1_L008
4861STDY7135911,/seq/24133/24133_1#2.cram,4861STDY7135911_S2_L001
4861STDY7135911,/seq/24133/24133_2#3.cram,4861STDY7135911_S2_L002
4861STDY7135911,/seq/24133/24133_3#1.cram,4861STDY7135911_S2_L003
4861STDY7135911,/seq/24133/24133_4#3.cram,4861STDY7135911_S2_L004
4861STDY7135911,/seq/24133/24133_5#1.cram,4861STDY7135911_S2_L005
4861STDY7135911,/seq/24133/24133_6#3.cram,4861STDY7135911_S2_L006
4861STDY7135911,/seq/24133/24133_7#2.cram,4861STDY7135911_S2_L007
4861STDY7135911,/seq/24133/24133_8#3.cram,4861STDY7135911_S2_L008
4861STDY7135911,/seq/24133/24133_1#1.cram,4861STDY7135911_S3_L001
4861STDY7135911,/seq/24133/24133_2#1.cram,4861STDY7135911_S3_L002
4861STDY7135911,/seq/24133/24133_3#4.cram,4861STDY7135911_S3_L003
4861STDY7135911,/seq/24133/24133_4#2.cram,4861STDY7135911_S3_L004
4861STDY7135911,/seq/24133/24133_5#4.cram,4861STDY7135911_S3_L005
4861STDY7135911,/seq/24133/24133_6#2.cram,4861STDY7135911_S3_L006
4861STDY7135911,/seq/24133/24133_7#4.cram,4861STDY7135911_S3_L007
4861STDY7135911,/seq/24133/24133_8#1.cram,4861STDY7135911_S3_L008
4861STDY7135911,/seq/24133/24133_1#3.cram,4861STDY7135911_S4_L001
4861STDY7135911,/seq/24133/24133_2#4.cram,4861STDY7135911_S4_L002
4861STDY7135911,/seq/24133/24133_3#2.cram,4861STDY7135911_S4_L003
4861STDY7135911,/seq/24133/24133_4#1.cram,4861STDY7135911_S4_L004
4861STDY7135911,/seq/24133/24133_5#3.cram,4861STDY7135911_S4_L005
4861STDY7135911,/seq/24133/24133_6#4.cram,4861STDY7135911_S4_L006
4861STDY7135911,/seq/24133/24133_7#1.cram,4861STDY7135911_S4_L007
4861STDY7135911,/seq/24133/24133_8#2.cram,4861STDY7135911_S4_L008
4861STDY7135912,/seq/24133/24133_1#5.cram,4861STDY7135912_S1_L001
4861STDY7135912,/seq/24133/24133_2#5.cram,4861STDY7135912_S1_L002
4861STDY7135912,/seq/24133/24133_3#8.cram,4861STDY7135912_S1_L003
