sample,cram_path,fastq_prefix,sample_supplier_name,library_type,total_reads
4861STDY7135911,/seq/24133/24133_1#4.cram,4861STDY7135911_S1_L001,C_CD4,Chromium single cell,18175980
4861STDY7135911,/seq/24133/24133_2#2.cram,4861STDY7135911_S1_L002,C_CD4,Chromium single cell,22537490
4861STDY7135911,/seq/24133/24133_3#3.cram,4861STDY7135911_S1_L003,C_CD4,Chromium single cell,16128708
4861STDY7135911,/seq/24133/24133_4#4.cram,4861STDY7135911_S1_L004,C_CD4,Chromium single cell,19244856
4861STDY7135911,/seq/24133/24133_5#2.cram,4861STDY7135911_S1_L005,C_CD4,Chromium single cell,22000678
4861STDY7135911,/seq/24133/24133_6#1.cram,4861STDY7135911_S1_L006,C_CD4,Chromium single cell,19767930
4861STDY7135911,/seq/24133/24133_7#3.cram,4861STDY7135911_S1_L007,C_CD4,Chromium single cell,16513382
4861STDY7135911,/seq/24133/24133_8#4.cram,4861STDY7135911_S1_L008,C_CD4,Chromium single cell,19185928
4861STDY7135911,/seq/24133/24133_1#2.cram,4861STDY7135911_S2_L001,C_CD4,Chromium single cell,22753116
4861STDY7135911,/seq/24133/24133_2#3.cram,4861STDY7135911_S2_L002,C_CD4,Chromium single cell,15757794
4861STDY7135911,/seq/24133/24133_3#1.cram,4861STDY7135911_S2_L003,C_CD4,Chromium single cell,19927806
4861STDY7135911,/seq/24133/24133_4#3.cram,4861STDY7135911_S2_L004,C_CD4,Chromium single cell,16828068
4861STDY7135911,/seq/24133/24133_5#1.cram,4861STDY7135911_S2_L005,C_CD4,Chromium single cell,19155958
4861STDY7135911,/seq/24133/24133_6#3.cram,4861STDY7135911_S2_L006,C_CD4,Chromium single cell,16091524
4861STDY7135911,/seq/24133/24133_7#2.cram,4861STDY7135911_S2_L007,C_CD4,Chromium single cell,23653218
4861STDY7135911,/seq/24133/24133_8#3.cram,4861STDY7135911_S2_L008,C_CD4,Chromium single cell,16737296
4861STDY7135911,/seq/24133/24133_1#1.cram,4861STDY7135911_S3_L001,C_CD4,Chromium single cell,19692830
4861STDY7135911,/seq/24133/24133_2#1.cram,4861STDY7135911_S3_L002,C_CD4,Chromium single cell,19498978
4861STDY7135911,/seq/24133/24133_3#4.cram,4861STDY7135911_S3_L003,C_CD4,Chromium single cell,18430804
4861STDY7135911,/seq/24133/24133_4#2.cram,4861STDY7135911_S3_L004,C_CD4,Chromium single cell,24048574
4861STDY7135911,/seq/24133/24133_5#4.cram,4861STDY7135911_S3_L005,C_CD4,Chromium single cell,17570456
4861STDY7135911,/seq/24133/24133_6#2.cram,4861STDY7135911_S3_L006,C_CD4,Chromium single cell,23007932
4861STDY7135911,/seq/24133/24133_7#4.cram,4861STDY7135911_S3_L007,C_CD4,Chromium single cell,18888014
4861STDY7135911,/seq/24133/24133_8#1.cram,4861STDY7135911_S3_L008,C_CD4,Chromium single cell,20740472
4861STDY7135911,/seq/24133/24133_1#3.cram,4861STDY7135911_S4_L001,C_CD4,Chromium single cell,15882350
4861STDY7135911,/seq/24133/24133_2#4.cram,4861STDY7135911_S4_L002,C_CD4,Chromium single cell,18004308
4861STDY7135911,/seq/24133/24133_3#2.cram,4861STDY7135911_S4_L003,C_CD4,Chromium single cell,23085504
4861STDY7135911,/seq/24133/24133_4#1.cram,4861STDY7135911_S4_L004,C_CD4,Chromium single cell,20663512
4861STDY7135911,/seq/24133/24133_5#3.cram,4861STDY7135911_S4_L005,C_CD4,Chromium single cell,15368122
4861STDY7135911,/seq/24133/24133_6#4.cram,4861STDY7135911_S4_L006,C_CD4,Chromium single cell,18392656
