sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
4861STDY7135911,/seq/24133/24133_1#4.cram,4861STDY7135911_S1_L001,C_CD4,Chromium single cell,18175980,18175980,26,98,8,—
4861STDY7135911,/seq/24133/24133_2#2.cram,4861STDY7135911_S1_L002,C_CD4,Chromium single cell,22537490,22537490,26,98,8,—
4861STDY7135911,/seq/24133/24133_3#3.cram,4861STDY7135911_S1_L003,C_CD4,Chromium single cell,16128708,16128708,26,98,8,—
4861STDY7135911,/seq/24133/24133_4#4.cram,4861STDY7135911_S1_L004,C_CD4,Chromium single cell,19244856,19244856,26,98,8,—
4861STDY7135911,/seq/24133/24133_5#2.cram,4861STDY7135911_S1_L005,C_CD4,Chromium single cell,22000678,22000678,26,98,8,—
4861STDY7135911,/seq/24133/24133_6#1.cram,4861STDY7135911_S1_L006,C_CD4,Chromium single cell,19767930,19767930,26,98,8,—
4861STDY7135911,/seq/24133/24133_7#3.cram,4861STDY7135911_S1_L007,C_CD4,Chromium single cell,16513382,16513382,26,98,8,—
4861STDY7135911,/seq/24133/24133_8#4.cram,4861STDY7135911_S1_L008,C_CD4,Chromium single cell,19185928,19185928,26,98,8,—
4861STDY7135911,/seq/24133/24133_1#2.cram,4861STDY7135911_S2_L001,C_CD4,Chromium single cell,22753116,22753116,26,98,8,—
4861STDY7135911,/seq/24133/24133_2#3.cram,4861STDY7135911_S2_L002,C_CD4,Chromium single cell,15757794,15757794,26,98,8,—
4861STDY7135911,/seq/24133/24133_3#1.cram,4861STDY7135911_S2_L003,C_CD4,Chromium single cell,19927806,19927806,26,98,8,—
4861STDY7135911,/seq/24133/24133_4#3.cram,4861STDY7135911_S2_L004,C_CD4,Chromium single cell,16828068,16828068,26,98,8,—
4861STDY7135911,/seq/24133/24133_5#1.cram,4861STDY7135911_S2_L005,C_CD4,Chromium single cell,19155958,19155958,26,98,8,—
4861STDY7135911,/seq/24133/24133_6#3.cram,4861STDY7135911_S2_L006,C_CD4,Chromium single cell,16091524,16091524,26,98,8,—
4861STDY7135911,/seq/24133/24133_7#2.cram,4861STDY7135911_S2_L007,C_CD4,Chromium single cell,23653218,23653218,26,98,8,—
4861STDY7135911,/seq/24133/24133_8#3.cram,4861STDY7135911_S2_L008,C_CD4,Chromium single cell,16737296,16737296,26,98,8,—
4861STDY7135911,/seq/24133/24133_1#1.cram,4861STDY7135911_S3_L001,C_CD4,Chromium single cell,19692830,19692830,26,98,8,—
4861STDY7135911,/seq/24133/24133_2#1.cram,4861STDY7135911_S3_L002,C_CD4,Chromium single cell,19498978,19498978,26,98,8,—
4861STDY7135911,/seq/24133/24133_3#4.cram,4861STDY7135911_S3_L003,C_CD4,Chromium single cell,18430804,18430804,26,98,8,—
4861STDY7135911,/seq/24133/24133_4#2.cram,4861STDY7135911_S3_L004,C_CD4,Chromium single cell,24048574,24048574,26,98,8,—
4861STDY7135911,/seq/24133/24133_5#4.cram,4861STDY7135911_S3_L005,C_CD4,Chromium single cell,17570456,17570456,26,98,8,—
4861STDY7135911,/seq/24133/24133_6#2.cram,4861STDY7135911_S3_L006,C_CD4,Chromium single cell,23007932,23007932,26,98,8,—
4861STDY7135911,/seq/24133/24133_7#4.cram,4861STDY7135911_S3_L007,C_CD4,Chromium single cell,18888014,18888014,26,98,8,—
4861STDY7135911,/seq/24133/24133_8#1.cram,4861STDY7135911_S3_L008,C_CD4,Chromium single cell,20740472,20740472,26,98,8,—
4861STDY7135911,/seq/24133/24133_1#3.cram,4861STDY7135911_S4_L001,C_CD4,Chromium single cell,15882350,15882350,26,98,8,—
4861STDY7135911,/seq/24133/24133_2#4.cram,4861STDY7135911_S4_L002,C_CD4,Chromium single cell,18004308,18004308,26,98,8,—
4861STDY7135911,/seq/24133/24133_3#2.cram,4861STDY7135911_S4_L003,C_CD4,Chromium single cell,23085504,23085504,26,98,8,—
4861STDY7135911,/seq/24133/24133_4#1.cram,4861STDY7135911_S4_L004,C_CD4,Chromium single cell,20663512,20663512,26,98,8,—
4861STDY7135911,/seq/24133/24133_5#3.cram,4861STDY7135911_S4_L005,C_CD4,Chromium single cell,15368122,15368122,26,98,8,—
4861STDY7135911,/seq/24133/24133_6#4.cram,4861STDY7135911_S4_L006,C_CD4,Chromium single cell,18392656,18392656,26,98,8,—
